method,n,avg_em,avg_f1,avg_evidence_hit_rate,avg_citation_hit_rate,avg_citation_precision,avg_heuristic_hallucination,avg_abstain,avg_prompt_tokens,avg_completion_tokens
hybrid_rag,398,0.0,0.09128520857824479,0.1421918820825117,0.535175879396985,0.535175879396985,0.2537688442211055,0.0,521.4396984924623,45.552763819095475
no_rag,398,0.0,0.018093271950287877,0.0,0.0,0.0,0.4623115577889447,0.542713567839196,42.243718592964825,112.64070351758794
toc_rag,398,0.0,0.09104383818547092,0.15209785452173863,0.1934673366834171,0.1934673366834171,0.23366834170854273,0.0,531.0276381909548,47.39949748743719
vector_rag,398,0.0,0.12330715380418654,0.42366549558760613,0.7663316582914573,0.7663316582914573,0.007537688442211055,0.002512562814070352,2680.3366834170856,69.30904522613065
